tokens;ner_tags
digital;O
nomads;O
and;O
found;O
a;O
lot;O
of;O
useful;O
tips;O
.;O
;
Sophia;O
was;O
accepted;O
to;O
Stanford;O
University;O
and;O
plans;O
to;O
study;O
computer;O
science;O
.;O
;
My;O
cousin;O
works;O
with;O
Microsoft;O
Azure;O
,;O
helping;O
clients;O
with;O
cloud;O
migrations;O
.;O
;
I;O
attended;O
a;O
keynote;O
by;O
Bill;O
Gates;O
at;O
a;O
recent;O
tech;O
conference;O
.;O
;
Emma;O
told;O
me;O
she;O
saw;O
a;O
presentation;O
about;O
sustainable;O
energy;O
at;O
Google;O
headquarters;O
.;O
;
I’m;O
taking;O
a;O
data;O
analysis;O
course;O
on;O
DataCamp;O
and;O
learning;O
so;O
much;O
.;O
;
Last;O
week;O
,;O
I;O
tried;O
a;O
virtual;O
reality;O
headset;O
developed;O
by;O
Oculus;O
and;O
it;O
was;O
mind-blowing;O
.;O
;
David;O
got;O
a;O
promotion;O
at;O
Oracle;O
where;O
he;O
manages;O
database;O
solutions;O
for;O
clients;O
.;O
;
My;O
friend;O
joined;O
an;O
AI;O
research;O
team;O
funded;O
by;O
DARPA;O
and;O
they’re;O
working;O
on;O
exciting;O
projects;O
.;O
;
Lily;O
was;O
so;O
excited;O
when;O
she;O
got;O
an;O
offer;O
from;O
SpaceX;O
to;O
work;O
in;O
their;O
engineering;O
department;O
.;O
;
Netflix;O
has;O
released;O
a;O
lot;O
of;O
great;O
documentaries;O
this;O
year;O
.;O
;
The;O
latest;O
seminar;O
by;O
Tony;O
Robbins;O
was;O
all;O
about;O
financial;O
resilience;O
.;O
;
My;O
coworker;O
is;O
learning;O
Swift;O
to;O
develop;O
apps;O
for;O
the;O
Apple;O
ecosystem;O
.;O
;
Julia;O
just;O
finished;O
an;O
advanced;O
SQL;O
course;O
on;O
LinkedIn;O
Learning;O
and;O
found;O
it;O
really;O
helpful;O
.;O
;
Last;O
weekend;O
,;O
I;O
attended;O
a;O
webinar;O
hosted;O
by;O
Intel;O
about;O
quantum;O
computing;O
.;O
;
Ben;O
and;O
I;O
were;O
discussing;O
the;O
new;O
features;O
of;O
Photoshop;O
,;O
especially;O
the;O
AI-powered;O
editing;O
tools;O
.;O
;
My;O
manager;O
recommended;O
watching;O
a;O
TED;O
Talk;O
by;O
Sheryl;O
Sandberg;O
on;O
leadership;O
and;O
resilience;O
.;O
;
I;O
saw;O
an;O
article;O
about;O
Amazon;O
Web;O
Services;O
launching;O
a;O
new;O
data;O
center;O
in;O
Europe;O
.;O
;
Natalie;O
is;O
working;O
on;O
a;O
project;O
with;O
IBM;O
Blockchain;O
to;O
improve;O
supply;O
chain;O
transparency;O
.;O
;
I;O
heard;O
that;O
Harvard;O
is;O
offering;O
a;O
new;O
online;O
course;O
in;O
machine;O
learning;O
this;O
semester;O
.;O
;
My;O
friend;O
bought;O
a;O
new;O
Samsung;O
Galaxy;O
phone;O
,;O
and;O
the;O
camera;O
is;O
incredible;O
.;O
;
There’s;O
a;O
startup;O
called;O
Neuralink;O
that;O
is;O
exploring;O
brain-computer;O
interfaces;O
.;O
;
I;O
tried;O
the;O
virtual;O
meeting;O
platform;O
developed;O
by;O
Zoom;O
and;O
found;O
it;O
super;O
efficient;O
for;O
remote;O
work;O
.;O
;
Jason;O
read;O
a;O
biography;O
of;O
Elon;O
Musk;O
and;O
got;O
inspired;O
by;O
his;O
vision;O
for;O
space;O
exploration;O
.;O
;
Lily;O
mentioned;O
a;O
new;O
AI;O
course;O
that’s;O
available;O
on;O
Coursera;O
and;O
includes;O
hands-on;O
projects;O
.;O
;
My;O
cousin;O
started;O
working;O
as;O
a;O
data;O
scientist;O
at;O
Nvidia;O
and;O
loves;O
the;O
innovative;O
environment;O
.;O
;
I;O
attended;O
a;O
conference;O
on;O
cybersecurity;O
sponsored;O
by;O
Cisco;O
last;O
week;O
.;O
;
Emily;O
shared;O
some;O
insights;O
from;O
a;O
report;O
by;O
McKinsey;O
on;O
global;O
market;O
trends;O
.;O
;
Jake;O
signed;O
up;O
for;O
a;O
robotics;O
workshop;O
hosted;O
by;O
Boston;O
Dynamics;O
.;O
;
My;O
company;O
uses;O
Oracle;O
software;O
for;O
managing;O
databases;O
.;O
;
Rachel;O
watched;O
a;O
documentary;O
on;O
Netflix;O
about;O
the;O
rise;O
of;O
renewable;O
energy;O
technologies;O
.;O
;
The;O
new;O
report;O
by;O
Gartner;O
predicts;O
significant;O
growth;O
in;O
the;O
cloud;O
computing;O
market;O
.;O
;
My;O
friend;O
works;O
in;O
software;O
development;O
at;O
Shopify;O
,;O
focusing;O
on;O
e-commerce;O
solutions;O
.;O
;
I;O
went;O
to;O
a;O
presentation;O
by;O
Tim;O
Ferriss;O
,;O
who;O
talked;O
about;O
productivity;O
hacks;O
.;O
;
Sarah;O
recently;O
joined;O
a;O
research;O
group;O
at;O
MIT;O
focused;O
on;O
artificial;O
intelligence;O
.;O
;
I;O
saw;O
an;O
interesting;O
ad;O
about;O
a;O
new;O
VR;O
headset;O
developed;O
by;O
HTC;O
.;O
;
Matt;O
is;O
excited;O
about;O
his;O
new;O
role;O
at;O
Deloitte;O
in;O
the;O
consulting;O
division;O
.;O
;
We;O
had;O
a;O
team;O
meeting;O
where;O
our;O
manager;O
mentioned;O
collaborating;O
with;O
Salesforce;O
on;O
customer;O
data;O
projects;O
.;O
;
Anna;O
attended;O
a;O
seminar;O
on;O
big;O
data;O
analysis;O
hosted;O
by;O
IBM;O
last;O
month;O
.;O
;
My;O
cousin;O
started;O
using;O
Asana;O
for;O
managing;O
her;O
project;O
timelines;O
,;O
and;O
she;O
finds;O
it;O
really;O
helpful;O
.;O
;
Jason;O
is;O
learning;O
how;O
to;O
code;O
in;O
Python;O
through;O
a;O
course;O
on;O
Udacity;O
.;O
;
My;O
team;O
recently;O
adopted;O
Slack;O
for;O
communication;O
,;O
and;O
it;O
has;O
improved;O
our;O
workflow;O
.;O
;
Linda;O
recommended;O
a;O
new;O
marketing;O
strategy;O
inspired;O
by;O
Coca-Cola's;O
branding;O
campaigns;O
.;O
;
The;O
new;O
update;O
from;O
Salesforce;O
has;O
some;O
interesting;O
features;O
for;O
customer;O
data;O
management;O
.;O
;
Jack;O
read;O
an;O
article;O
about;O
Tesla's;O
latest;O
advancements;O
in;O
battery;O
technology;O
.;O
;
I;O
recently;O
watched;O
a;O
video;O
by;O
Gary;O
Vaynerchuk;O
on;O
personal;O
branding;O
and;O
social;O
media;O
strategies;O
.;O
;
Emma;O
is;O
doing;O
research;O
on;O
blockchain;O
applications;O
at;O
her;O
university;O
.;O
;
Sarah;O
found;O
an;O
internship;O
at;O
Facebook;O
for;O
the;O
summer;O
.;O
;
Ben;O
recommended;O
watching;O
a;O
series;O
on;O
Netflix;O
about;O
cybersecurity;O
.;O
;
I;O
joined;O
a;O
finance;O
club;O
at;O
my;O
university;O
,;O
and;O
we;O
often;O
discuss;O
trends;O
from;O
Bloomberg;O
.;O
;
Jill;O
started;O
using;O
Notion;O
to;O
organize;O
her;O
study;O
materials;O
.;O
;
The;O
conference;O
had;O
speakers;O
from;O
companies;O
like;O
Google;O
and;O
Apple;O
discussing;O
innovations;O
in;O
artificial;O
intelligence;O
.;O
;
Tom;O
bought;O
a;O
new;O
laptop;O
from;O
Dell;O
for;O
his;O
work;O
projects;O
.;O
;
I;O
read;O
about;O
Amazon's;O
plans;O
to;O
expand;O
into;O
more;O
areas;O
of;O
cloud;O
services;O
.;O
;
Sophie;O
tried;O
out;O
a;O
new;O
language;O
learning;O
app;O
called;O
Babbel;O
and;O
really;O
liked;O
it;O
.;O
;
My;O
company;O
is;O
planning;O
a;O
collaboration;O
with;O
Adobe;O
on;O
a;O
new;O
project;O
.;O
;
Chris;O
bought;O
some;O
stock;O
in;O
Shopify;O
after;O
hearing;O
about;O
their;O
growth;O
in;O
e-commerce;O
.;O
;
I;O
tried;O
a;O
new;O
collaboration;O
tool;O
from;O
Trello;O
,;O
and;O
it;O
makes;O
project;O
tracking;O
so;O
easy;O
.;O
;
Laura;O
is;O
taking;O
an;O
online;O
coding;O
bootcamp;O
from;O
Flatiron;O
School;O
to;O
learn;O
full-stack;O
development;O
.;O
;
Mark;O
started;O
a;O
side;O
business;O
selling;O
custom;O
designs;O
he;O
created;O
using;O
Canva;O
.;O
;
Jessica;O
joined;O
a;O
LinkedIn;O
group;O
for;O
data;O
science;O
professionals;O
and;O
found;O
it;O
very;O
useful;O
.;O
;
Our;O
team;O
uses;O
Monday.com;O
for;O
managing;O
project;O
timelines;O
and;O
tasks;O
.;O
;
My;O
friend;O
attended;O
a;O
workshop;O
on;O
UI;O
and;O
UX;O
design;O
by;O
a;O
designer;O
from;O
Figma;O
.;O
;
Olivia;O
signed;O
up;O
for;O
a;O
digital;O
marketing;O
course;O
hosted;O
by;O
Coursera;O
and;O
thinks;O
it;O
could;O
help;O
her;O
career;O
.;O
;
My;O
brother;O
bought;O
a;O
subscription;O
to;O
Adobe;O
Creative;O
Cloud;O
for;O
his;O
photography;O
projects;O
.;O
;
Emma;O
recently;O
read;O
an;O
article;O
on;O
TechCrunch;O
about;O
new;O
startups;O
in;O
the;O
AI;O
industry;O
.;O
;
At;O
the;O
conference;O
,;O
Sarah;O
met;O
engineers;O
from;O
Intel;O
and;O
Microsoft;O
discussing;O
the;O
future;O
of;O
edge;O
computing;O
.;O
;
Tom;O
mentioned;O
he;O
found;O
some;O
useful;O
tutorials;O
on;O
GitHub;O
for;O
learning;O
JavaScript;O
.;O
;
Lucy;O
used;O
Fiverr;O
to;O
hire;O
a;O
designer;O
for;O
her;O
website;O
logo;O
.;O
;
The;O
team;O
at;O
Google;O
recently;O
announced;O
a;O
new;O
update;O
for;O
Google;O
Maps;O
,;O
making;O
navigation;O
even;O
easier;O
.;O
;
Jake;O
loves;O
watching;O
documentaries;O
on;O
BBC;O
,;O
especially;O
those;O
on;O
historical;O
topics;O
.;O
;
Chloe;O
created;O
her;O
own;O
podcast;O
using;O
Anchor;O
,;O
and;O
it’s;O
getting;O
great;O
feedback;O
.;O
;
I;O
read;O
a;O
review;O
of;O
Apple’s;O
new;O
iPhone;O
on;O
CNET;O
,;O
and;O
it;O
sounds;O
impressive;O
.;O
;
Sophie;O
is;O
learning;O
video;O
editing;O
with;O
DaVinci;O
Resolve;O
,;O
which;O
she;O
finds;O
very;O
intuitive;O
.;O
;
Sam;O
used;O
Kickstarter;O
to;O
fund;O
his;O
creative;O
project;O
and;O
was;O
surprised;O
by;O
the;O
support;O
he;O
received;O
.;O
;
Emily;O
started;O
a;O
coding;O
project;O
using;O
Unity;O
and;O
is;O
enjoying;O
learning;O
game;O
development;O
basics;O
.;O
;
There;O
was;O
an;O
interesting;O
webinar;O
on;O
Zoom;O
about;O
virtual;O
event;O
management;O
that;O
my;O
friend;O
attended;O
.;O
;
My;O
manager;O
encouraged;O
us;O
to;O
take;O
a;O
productivity;O
course;O
available;O
on;O
Skillshare;O
.;O
;
Jake;O
is;O
planning;O
to;O
attend;O
a;O
training;O
session;O
by;O
IBM;O
on;O
the;O
basics;O
of;O
cloud;O
computing;O
.;O
;
I;O
came;O
across;O
a;O
TED;O
Talk;O
by;O
Brené;O
Brown;O
,;O
which;O
focused;O
on;O
vulnerability;O
and;O
courage;O
.;O
;
Alicia;O
found;O
a;O
deal;O
on;O
Udemy;O
for;O
an;O
AI;O
course;O
and;O
signed;O
up;O
immediately;O
.;O
;
The;O
office;O
started;O
using;O
Miro;O
for;O
brainstorming;O
sessions;O
,;O
and;O
everyone;O
loves;O
the;O
interactive;O
features;O
.;O
;
Charlie;O
is;O
working;O
on;O
an;O
advertising;O
campaign;O
for;O
Coca-Cola;O
in;O
his;O
marketing;O
class;O
.;O
;
I;O
heard;O
that;O
Twitter;O
will;O
be;O
launching;O
some;O
new;O
features;O
focused;O
on;O
community;O
engagement;O
.;O
;
Karen;O
got;O
some;O
amazing;O
recipe;O
ideas;O
from;O
Pinterest;O
for;O
her;O
upcoming;O
party;O
.;O
;
My;O
friend;O
has;O
been;O
following;O
Neil;O
deGrasse;O
Tyson;O
on;O
Instagram;O
for;O
his;O
insights;O
on;O
space;O
exploration;O
.;O
;
I;O
saw;O
an;O
advertisement;O
from;O
Toyota;O
for;O
their;O
new;O
hybrid;O
SUV;O
,;O
which;O
looks;O
fantastic;O
.;O
;
Rachel;O
recently;O
finished;O
a;O
certification;O
in;O
graphic;O
design;O
from;O
LinkedIn;O
Learning;O
.;O
